Name,Type,Base-loc,Space,CapA,LowA,Bank3,Bank4,NumSyllables,Font,GlyphUses,SampleText,lrt-ltr
Sabric,Multigraphic,f1800,f1820,f1841,f1861,-,-,-,lcs-constructorII,12,F3B1A193F3B1A1A1F3B1A182F3B1A1B2F3B1A189F3B1A1A3,ltr
Scrantor 8859-1,Alphabet,f1900,f1920,f1941,f1961,-,-,-,lcs-constructorII,UL,F3B1A593F3B1A5A3F3B1A5B2F3B1A5A1F3B1A5AEF3B1A5B4F3B1A5AFF3B1A5B2,ltr
Scriblic,Alphabet,f3300,f3320,f3341,f3361,-,-,-,lcs-constructorII,UL,F3B38D93F3B38D83F3B38D92F3B38D89F3B38D82F3B38D8CF3B38D89F3B38D83,ltr
Slapnic,Alphabet,f1a00,f1a20,f1a41,f1a61,-,-,-,lcs-constructorII,UL,F3B1A993F3B1A9ACF3B1A9A1F3B1A9B0F3B1A9AEF3B1A9A9F3B1A9A3,ltr
Stixie 8859-1,Alphabet,f1b00,f1b20,f1b41,f1b61,-,-,-,lcs-constructorII,UL,F3B1AD93F3B1ADB4F3B1ADA9F3B1ADB8F3B1ADA9F3B1ADA5,ltr
Syllamong,Multigraphic,f2400,f2420,f2441,f2461,f2481,-,-,lcs-constructorII,123,F3B29193F3B291B9F3B2928CF3B2918CF3B291A1F3B2928DF3B2918FF3B291AEF3B29287,ltr
Taglibic,Alphabet,f1c00,f1c20,f1c41,f1c61,f1c81,f1ca1,-,lcs-constructorII,IMFS,F3B1B194F3B1B1A1F3B1B1A7F3B1B1ACF3B1B1A9F3B1B1A2F3B1B1A9F3B1B283,ltr
TalDigraphic,Multigraphic,f3700,f3720,f3741,f3761,-,-,-,lcs-constructorII,12,F3B39DB4F3B39D81F3B39DACF3B39D84F3B39DA9F3B39D87F3B39DB2F3B39D81F3B39DB0F3B39D88F3B39DA9F3B39D83,ltr
Talnagari,Abugida,f3600,f3620,f3641,-,-,-,-,lcs-constructorII,-,F3B39994F3B39981F3B3998CF3B3998EF3B39981F3B39987F3B39981F3B39992F3B39989,ltr
Talnarain ,Alphabet,f3500,f3520,f3541,f3561,-,-,-,lcs-constructorII,UL,F3B39592F3B395A1F3B395ACF3B395AEF3B395A1F3B395B2F3B395A1F3B395A9F3B395AE,ltr
TalnarainD,Multigraphic,f3400,f3420,f3441,f3461,-,-,-,lcs-constructorII,12,F3B391B4F3B39181F3B391ACF3B3918EF3B391A1F3B39192F3B391A9F3B3918EF3B39184F3B3919B,ltr
Tickytac,Alphabet,f3800,f3820,f3841,f3861,-,-,-,lcs-constructorII,UL,F3B3A194F3B3A189F3B3A183F3B3A18BF3B3A199F3B3A194F3B3A181F3B3A183,ltr
Tugiye,Alphabet,f1d20,f1d40,f1d61,f1d81,-,-,-,lcs-constructorII,UL,F3B1B594F3B1B5B5F3B1B5A7F3B1B5A9F3B1B5B9F3B1B5A5,ltr
Twilobyte 8859-1,Alphabet,f1e00,f1e20,f1e41,f1e61,-,-,-,lcs-constructorII,UL,F3B1B994F3B1B9B7F3B1B9B9F3B1B9ACF3B1B9AFF3B1B9A2F3B1B9B9F3B1B9B4F3B1B9A5,ltr
Ulmaradic,Multigraphic,f4400,f4420,f4441,f4461,f4481,-,-,lcs-constructorII,123,F3B49195F3B491ACF3B4928DF3B49181F3B491B2F3B49289F3B49184F3B491A9F3B49283,ltr
Vesapuli,Syllabary,f4e41,f4e00,-,-,-,-,-,lcs-constructorII,-,F3B4BAA2F3B4BA95F3B4BA87F3B4B9B3,ltr
Waves 8859-1,Alphabet,f1f00,f1f20,f1f41,f1f61,-,-,-,lcs-constructorII,UL,F3B1BD97F3B1BDA1F3B1BDB6F3B1BDA5F3B1BDB3,ltr
Xandrioc,Syllabary,f4758,-,-,-,-,-,256,lcs-constructorII,-,F3B49FA8F3B49EAFF3B49DAFF3B49F82F3B4A083F3B49DA7,ltr
Yagnar,Multigraphic,f5200,f5220,f5241,f5261,-,-,-,lcs-constructorII,12,F3B58999F3B589A1F3B58987F3B589AEF3B58981F3B589B2,ltr
Zalnorian,Alphabet,f3900,f3920,f3941,f3961,-,-,-,lcs-constructorII,UL,F3B3A59AF3B3A5A1F3B3A5ACF3B3A5AEF3B3A5AFF3B3A5B2F3B3A5A9F3B3A5A1F3B3A5AE,ltr
Zapronto,Multigraphic,f3c00,f3c20,f3c41,f3c61,f3c81,f3ca1,-,lcs-constructorII,1234,F3B3B19AF3B3B1A1F3B3B290F3B3B2B2F3B3B18FF3B3B1AEF3B3B294F3B3B2AF,ltr
End,,,,,,,,,,,,
